wl,n
1.0840e+02,3.8343e+00
1.0918e+02,3.8334e+00
1.0997e+02,3.8325e+00
1.1076e+02,3.8317e+00
1.1156e+02,3.8308e+00
1.1236e+02,3.8300e+00
1.1317e+02,3.8291e+00
1.1399e+02,3.8283e+00
1.1481e+02,3.8275e+00
1.1564e+02,3.8267e+00
1.1647e+02,3.8259e+00
1.1731e+02,3.8252e+00
1.1815e+02,3.8244e+00
1.1900e+02,3.8236e+00
1.1986e+02,3.8229e+00
1.2072e+02,3.8221e+00
1.2159e+02,3.8214e+00
1.2247e+02,3.8207e+00
1.2335e+02,3.8200e+00
1.2424e+02,3.8193e+00
1.2513e+02,3.8186e+00
1.2604e+02,3.8179e+00
1.2694e+02,3.8172e+00
1.2786e+02,3.8165e+00
1.2878e+02,3.8159e+00
1.2971e+02,3.8152e+00
1.3064e+02,3.8146e+00
1.3158e+02,3.8139e+00
1.3253e+02,3.8133e+00
1.3348e+02,3.8127e+00
1.3445e+02,3.8120e+00
1.3541e+02,3.8114e+00
1.3639e+02,3.8108e+00
1.3737e+02,3.8102e+00
1.3836e+02,3.8096e+00
1.3936e+02,3.8091e+00
1.4036e+02,3.8085e+00
1.4137e+02,3.8079e+00
1.4239e+02,3.8074e+00
1.4342e+02,3.8068e+00
1.4445e+02,3.8063e+00
1.4549e+02,3.8057e+00
1.4654e+02,3.8052e+00
1.4759e+02,3.8047e+00
1.4866e+02,3.8042e+00
1.4973e+02,3.8036e+00
1.5081e+02,3.8031e+00
1.5189e+02,3.8026e+00
1.5299e+02,3.8021e+00
1.5409e+02,3.8016e+00
1.5520e+02,3.8012e+00
1.5632e+02,3.8007e+00
1.5744e+02,3.8002e+00
1.5858e+02,3.7998e+00
1.5972e+02,3.7993e+00
1.6087e+02,3.7989e+00
1.6203e+02,3.7984e+00
1.6320e+02,3.7980e+00
1.6437e+02,3.7975e+00
1.6556e+02,3.7971e+00
1.6675e+02,3.7967e+00
1.6795e+02,3.7963e+00
1.6916e+02,3.7958e+00
1.7038e+02,3.7954e+00
1.7160e+02,3.7950e+00
1.7284e+02,3.7946e+00
1.7409e+02,3.7942e+00
1.7534e+02,3.7939e+00
1.7660e+02,3.7935e+00
1.7787e+02,3.7931e+00
1.7916e+02,3.7927e+00
1.8045e+02,3.7924e+00
1.8175e+02,3.7920e+00
1.8305e+02,3.7916e+00
1.8437e+02,3.7913e+00
1.8570e+02,3.7909e+00
1.8704e+02,3.7906e+00
1.8839e+02,3.7903e+00
1.8974e+02,3.7899e+00
1.9111e+02,3.7896e+00
1.9249e+02,3.7893e+00
1.9387e+02,3.7889e+00
1.9527e+02,3.7886e+00
1.9668e+02,3.7883e+00
1.9809e+02,3.7880e+00
1.9952e+02,3.7877e+00
